,mass_A
t,x
0.0000000000000000,0.0761686100000000
0.0481333300000000,0.0841400900000000
0.0960666700000000,0.0838002400000000
0.1439333000000000,0.0776304500000000
0.2079333000000000,0.0626116700000000
0.2560333000000000,0.0429541300000000
0.3040667000000000,0.0212606100000000
0.3521000000000000,-0.0024325320000000
0.3999667000000000,-0.0257746300000000
0.4479000000000000,-0.0473044700000000
0.4959333000000000,-0.0682195600000000
0.5600333000000000,-0.0843460500000000
0.6080000000000000,-0.0783675200000000
0.6559333000000000,-0.0859180400000000
0.7040333000000000,-0.0776386700000000
0.7521000000000000,-0.0670008500000000
0.8000333000000000,-0.0527310900000000
0.8480333000000000,-0.0301177200000000
0.8960667000000000,-0.0075762200000000
0.9599000000000000,0.0160742900000000
1.0079670000000000,0.0388213300000000
1.0560330000000000,0.0585992100000000
1.1040000000000000,0.0740924800000000
1.1519670000000000,0.0848404500000000
1.2000330000000000,0.0788257700000000
1.2480670000000000,0.0748400300000000
1.3119670000000000,0.0619462100000000
1.3601330000000000,0.0489664700000000
1.4079330000000000,0.0306709300000000
1.4560330000000000,0.0108537900000000
1.5039330000000000,-0.0125399000000000
1.5520330000000000,-0.0340478700000000
1.6000330000000000,-0.0544856400000000
1.6481000000000000,-0.0753723400000000
1.7120330000000000,-0.0874893500000000
1.7600670000000000,-0.0832608800000000
1.8080330000000000,-0.0830628300000000
1.8560670000000000,-0.0789163900000000
1.9039000000000000,-0.0624278200000000
1.9519330000000000,-0.0447320900000000
1.9999330000000000,-0.0255631900000000
2.0480000000000000,-0.0031551970000000
2.1119330000000000,0.0198634600000000
2.1600000000000000,0.0423756600000000
2.2079000000000000,0.0591064700000000
2.2561000000000000,0.0737317000000000
2.3039330000000000,0.0823181300000000
2.3520000000000000,0.0788257700000000
2.3999000000000000,0.0746747900000000
2.4641000000000000,0.0622709600000000
2.5121000000000000,0.0541934500000000
2.5600670000000000,0.0282346800000000
2.6079000000000000,0.0057539200000000
2.6560330000000000,-0.0166556000000000
2.7039000000000000,-0.0388416800000000
2.7520330000000000,-0.0585326600000000
2.7999330000000000,-0.0663064100000000
2.8640670000000000,-0.0742721800000000
2.9119000000000000,-0.0832608800000000
2.9600330000000000,-0.0820406800000000
3.0080000000000000,-0.0686465100000000
3.0559330000000000,-0.0575876800000000
3.1040000000000000,-0.0401321000000000
3.1520000000000000,-0.0195371200000000
3.1999330000000000,0.0024455490000000
3.2640670000000000,0.0252618400000000
3.3120670000000000,0.0446167900000000
3.3599670000000000,0.0600811500000000
3.4079000000000000,0.0735114500000000
3.4559330000000000,0.0790785000000000
3.5040000000000000,0.0782700300000000
3.5519670000000000,0.0703856300000000
3.6159000000000000,0.0572157400000000
3.6641000000000000,0.0402682400000000
3.7121000000000000,0.0192830700000000
3.7599330000000000,-0.0013001390000000
3.8080000000000000,-0.0228537600000000
3.8559000000000000,-0.0419013900000000
3.9040000000000000,-0.0606841400000000
3.9519330000000000,-0.0718215200000000
4.0159000000000000,-0.0764128100000000
4.0641000000000000,-0.0776919000000000
4.1120670000000000,-0.0742778300000000
4.1600330000000000,-0.0655729500000000
4.2079330000000000,-0.0504054100000000
4.2559000000000000,-0.0318218200000000
4.3039000000000000,-0.0104543900000000
4.3679000000000000,0.0115740900000000
4.4160000000000000,0.0326963600000000
4.4640000000000000,0.0511343100000000
4.5120330000000000,0.0670904900000000
4.5600330000000000,0.0768030000000000
4.6080000000000000,0.0797667300000000
4.6560000000000000,0.0759602800000000
